video_rank,video_id,country_id,trending_id,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
13,aJOTlE1K90k,CA,18.31.05,Maroon 5 - Girls Like You ft. Cardi B,Maroon5VEVO,10,2018-05-31T04:00:00.000Z,3057987,406604,4520,31301
14,Tn8hOPeAnIM,CA,18.31.05,Erika Costell - Chitty Bang ft. Jake Paul (Official Music Video),Erika Costell,22,2018-05-29T21:00:01.000Z,2949068,128997,60705,31354
15,1XokkMj-tYI,CA,18.31.05,Enfant sauva d'une chute: linta gralit du ta moignage de Mamoudou Gassama sur le plateau de BFMTV,BFMTV,25,2018-05-28T06:03:26.000Z,2812031,30350,2205,7743
16,FnaqC2ZH3Z0,CA,18.31.05,LAUGHING AT: KARIUS,KSI,10,2018-05-30T19:36:01.000Z,2744134,159327,38995,19833
17,uFn1vp-GpKU,CA,18.31.05,FUNNY UNDERWATER SWIMMING COMPETITION!,Lucas and Marcus,24,2018-05-29T21:30:19.000Z,2739768,53008,2896,8306
18,E4c7EE8_IX0,CA,18.31.05,Weezer - Africa,weezer,10,2018-05-29T12:00:11.000Z,2435309,70288,2916,5924
19,3shrder58iU,CA,18.31.05,"$150 Bed Vs. $159,000 Bed",BuzzFeedBlue,22,2018-05-27T15:00:19.000Z,2414681,43340,3055,3969
20,12m1rG0Tj7U,CA,18.31.05,Jimmy Kimmel on Roseanne Cancellation,Jimmy Kimmel Live,23,2018-05-30T02:40:54.000Z,2190835,19535,5243,7728
21,sV7eDd1d7LI,CA,18.31.05,Cooking birthday presents for my wife!,JunsKitchen,26,2018-05-28T10:00:34.000Z,1819351,166934,1033,12291
22,DbPIkpi0ik4,CA,18.31.05,Clash of Clans: Town Hall 12 Is Coming! (New Update),Clash of Clans,20,2018-05-30T08:59:22.000Z,1758388,75215,2548,9986
23,3psUDNNiI8Q,CA,18.31.05,Lil Yachty Shows Off His Extremely Rare Sneaker Collection On Part 1 Of Complex Closets,Complex,24,2018-05-28T14:00:00.000Z,1719191,51972,830,2634
24,kpTsHXbnmaQ,CA,18.31.05,Ray Diaz EXPOSES JAKE PAUL! (INTERVIEW) #DramaAlert & Responds to Loren Gray!,DramaAlert,25,2018-05-30T00:08:33.000Z,1677455,79828,2313,9115
25,Dan2YMDCpms,CA,18.31.05,Blind Girl Describes My Face to a Police Sketch Artist!,Gabbie Hanna,26,2018-05-30T21:00:02.000Z,1550845,139032,917,10020
26,9Rr9u6QGgVc,CA,18.31.05,STRANGERS DO MY MAKEUP IN AUSTRALIA,James Charles,24,2018-05-29T21:00:31.000Z,1548781,128639,2164,15858
27,D_Iei8Ge7bs,CA,18.31.05,Top 5 Most Unusual Phones In The World...,Unbox Therapy,28,2018-05-30T17:03:39.000Z,1492862,42803,1899,3023
28,av4QVqEMWyk,CA,18.31.05,Pusha T To Drake: All Bets Are Off And Everything Is On The Table In New Phone Interview,Breakfast Club Power 105.1 FM,24,2018-05-30T11:51:17.000Z,1398355,18889,939,7865
29,Wzq4qbNRFrw,CA,18.31.05,HIGH SCHOOL IN 2008 VS 2018,Smosh,23,2018-05-30T16:00:05.000Z,1372576,57335,3008,4404
30,IpN_wAlYZSs,CA,18.31.05,Honest Trailers - Every Christopher Nolan Movie,Screen Junkies,1,2018-05-29T17:00:00.000Z,1361565,48414,937,5129
31,JawsMtVjnis,CA,18.31.05,Rahim series - Episode 15,Egyptian Arts Group,24,2018-05-30T23:16:47.000Z,1236458,8332,766,1249
32,lTBP1FdnhBU,CA,18.31.05,A Used Audi RS7 Is a Half-Price Used Car Bargain,Doug DeMuro,2,2018-05-29T15:57:37.000Z,1231767,23716,1054,5876
